POTUS_SEQ,FNAME,MNAME,LNAME,START_DT,END_DT,State
1,George,,Washington,04/30/1789,03/04/1797,Virginia
2,John,,Adams,03/04/1797,03/04/1801,Massachusettes
3,Thomas,,Jefferson,03/04/1801,03/04/1809,Virginia
4,James,,Madison,03/04/1809,03/04/1817,Virginia
5,James,,Monroe,03/04/1817,03/04/1825,Virginia
6,John,Quincy,Adams,03/04/1825,03/04/1829,Massachusettes
7,Andrew,,Jackson,03/04/1829,03/04/1837,Tennessee
8,Martin,,Van Buren,03/04/1837,03/04/1841,New York
9,William,Henry,Harrison,03/04/1841,04/04/1841,Ohio
10,John,,Tyler,04/04/1841,03/04/1845,Virginia
11,James,Knox,Polk,03/04/1845,03/04/1849,Tennessee
12,Zachary,,Taylor,03/04/1849,07/09/1850,Louisiana
13,Millard,,Fillmore,07/09/1850,03/04/1853,New York
14,Franklin,,Pierce,03/04/1853,03/04/1857,New Hampshire
15,James,,Buchanan,03/04/1857,03/04/1861,Pennsylvania
16,Abrahan,,Lincoln,03/04/1861,4/15/1865,Illinois
17,Andrew,,Johnson,04/15/1865,03/04/1869,Tennessee
18,Hiram,Ulysses Simpson,Grant,03/04/1869,03/04/1877,Ohio
19,Rutherford,Birchard,Hayes,03/04/1877,03/04/1881,Ohio
20,James,Abram,Garfield,03/04/1881,09/19/1881,Ohio
21,Chester,Alan,Arthur,09/19/1881,03/04/1885,New York
22,Stephen,Grover,Cleveland,03/04/1885,03/04/1889,New York
23,Benjamin,,Harrison,03/04/1889,03/04/1893,Indiana
24,Stephen,Grover,Cleveland,03/04/1893,03/04/1897,New York
25,William,,McKinley,03/04/1897,09/14/1901,Ohio
26,Theodore,,Roosevelt,09/14/1901,03/04/1909,New York
27,William,Howard,Taft,03/04/1909,03/04/1913,Ohio
28,Thomas,Woodrow,Wilson,03/04/1913,03/04/1921,New Jersey
29,Warren,Gamaliel,Harding,03/04/1921,08/02/1923,Ohio
30,John,Calvin,Coolidge,08/02/1923,03/04/1929,Massachusettes
31,Herbert,Clark,Hoover,03/04/1929,03/04/1933,Iowa
32,Franklin,Delano,Roosevelt,03/04/1933,04/12/1945,New York
33,Harry,S,Truman,04/12/1945,01/20/1953,Missouri
34,Dwight,David,Eisenhower,01/20/1953,01/20/1961,Kansas
35,John,Fitzgerald,Kennedy,01/20/1961,11/22/1963,Massachusettes
36,Lyndon,Baines,Johnson,11/22/1963,01/20/1969,Texas
37,Richard,Milhous,Nixon,01/20/1969,08/09/1974,California
38,Gerald,Rudolph,Ford,08/09/1974,01/20/1977,Michigan
39,James,Earl,Carter,01/20/1977,01/20/1981,Georgia
40,Ronald,Wilson,Reagan,01/20/1981,01/20/1989,California
41,George,Herbert Walker,Bush,01/20/1989,01/20/1993,Texas
42,William,Jefferson,Clinton,01/20/1993,01/20/2001,Arkansas
43,George,Walker,Bush,01/20/2001,01/20/2009,Texas
44,Barack,Hussein,Obama,01/20/2009,,Hawaii
